"Season_KEEPER","Squad_KEEPER","Comp_KEEPER","Player_KEEPER","Nation_KEEPER","Pos_KEEPER","Age_KEEPER","MP_Playing_Time_KEEPER","Starts_Playing_Time_KEEPER","Min_Playing_Time_KEEPER","Mins_Per_90_Playing_Time_KEEPER","GA_KEEPER","GA90_KEEPER","SoTA_KEEPER","Saves_KEEPER","Save_percent_KEEPER","W_KEEPER","D_KEEPER","L_KEEPER","CS_KEEPER","CS_percent_KEEPER","PKatt_Kicks_KEEPER","PKA_Kicks_KEEPER","PKsv_Kicks_KEEPER","PKm_Kicks_KEEPER","Save_percent_Kicks_KEEPER","UrlFBref","Mins_Per_90_KEEPER_ADV","GA_Goals_KEEPER_ADV","PKA_Goals_KEEPER_ADV","FK_Goals_KEEPER_ADV","CK_Goals_KEEPER_ADV","OG_Goals_KEEPER_ADV","PSxG_Expected_KEEPER_ADV","PSxG_per_SoT_Expected_KEEPER_ADV","PSxGPlus_Minus_Expected_KEEPER_ADV","_per_90_Expected_KEEPER_ADV","Cmp_Launched_KEEPER_ADV","Att_Launched_KEEPER_ADV","Cmp_percent_Launched_KEEPER_ADV","Att (GK)_Passes_KEEPER_ADV","Thr_Passes_KEEPER_ADV","Launch_percent_Passes_KEEPER_ADV","AvgLen_Passes_KEEPER_ADV","Att_Goal_Kicks_KEEPER_ADV","Launch_percent_Goal_Kicks_KEEPER_ADV","AvgLen_Goal_Kicks_KEEPER_ADV","Opp_Crosses_KEEPER_ADV","Stp_Crosses_KEEPER_ADV","Stp_percent_Crosses_KEEPER_ADV","Player_NumOPA_Sweeper_KEEPER_ADV","Player_NumOPA_per_90_Sweeper_KEEPER_ADV","AvgDist_Sweeper_KEEPER_ADV","WeeklyWageEUR_WAGES","UrlTmarkt","comp_name_TM","player_position_TM","player_nationality_TM","player_height_mtrs_TM","player_foot_TM","contract_expiry_TM","player_market_value_euro_TM"
"2023-2024","Rio Ave","","Magrão","BRA","GK","23-285",7,7,630,7,12,1.71,31,19,64.5,1,2,4,1,14.3,1,1,0,0,0,"https://fbref.com/en/players/4bc2a77c/Magrao",7,12,1,0,3,0,11.8,0.35,-0.2,-0.03,21,64,32.8,168,43,23.8,29.8,54,44.4,38.8,78,3,3.8,7,1,16.1,NA,"https://www.transfermarkt.com/magrao/profil/spieler/818068","Liga Portugal","Goalkeeper","Brazil","1.97","right","2024-06-30",3e+05
"2023-2024","Chaves","","Hugo Souza","BRA","GK","25-024",18,18,1620,18,39,2.17,98,59,63.3,3,5,10,2,11.1,3,3,0,0,0,"https://fbref.com/en/players/c02e5af1/Hugo-Souza",18,39,3,0,4,0,35.9,0.35,-3.1,-0.17,120,309,38.8,373,93,46.9,38.8,170,78.8,56.5,292,14,4.8,14,0.78,12.6,NA,"https://www.transfermarkt.com/hugo-souza/profil/spieler/574901","Liga Portugal","Goalkeeper","Brazil","1.99","right","2024-06-30",1200000
"2023-2024","Vizela","","Fabijan Buntić","CRO","GK","27-000",21,20,1866,20.7,43,2.07,94,52,58.5,2,7,11,5,25,5,4,0,1,0,"https://fbref.com/en/players/f566b29e/Fabijan-Buntic",20.7,43,4,2,2,1,33.3,0.32,-8.7,-0.42,95,232,40.9,469,83,30.5,30.4,172,51.7,40.9,329,16,4.9,22,1.06,14.7,NA,"https://www.transfermarkt.com/fabijan-buntic/profil/spieler/248349","Liga Portugal","Goalkeeper","Croatia","1.94","left","2025-06-30",8e+05
NA,"Palmeiras","Série A","Wéverton","BRA","GK","35",35,35,3150,35,30,0.86,133,103,79.7,19,10,6,15,42.9,4,3,1,0,25,"https://fbref.com/en/players/81be82e9/Weverton",35,30,3,1,3,1,34.9,0.24,5.9,0.17,143,379,37.7,948,198,32.1,34,239,31.4,33.1,397,34,8.6,20,0.57,12.8,NA,"https://www.transfermarkt.com/weverton/profil/spieler/69400","Série A","Goalkeeper","Brazil","1.89","right","2026-12-31",2500000
NA,"Grêmio","","Gabriel Chapecó","BRA","GK","22",31,31,2790,31,51,1.65,159,109,70.4,14,5,12,5,16.1,4,4,0,0,0,"https://fbref.com/en/players/a24714b4/Gabriel-Chapeco",31,51,4,0,8,1,50.6,0.31,0.6,0.02,144,413,34.9,514,121,45.7,38.4,315,56.5,41.7,505,29,5.7,21,0.68,11.4,NA,"https://www.transfermarkt.com/gabriel-grando/profil/spieler/878037","Série A","Goalkeeper","Brazil","1.92","right","2026-12-31",2500000
NA,"Atlético Mineiro","Série A","Éverson","BRA","GK","32",36,36,3240,36,31,0.86,132,102,78,17,9,10,14,38.9,2,2,0,0,0,"https://fbref.com/en/players/a59c090b/Everson",36,31,2,1,1,1,41.3,0.3,11.3,0.31,190,472,40.3,885,132,43.8,37.1,177,47.5,40.5,526,30,5.7,36,1,14.2,NA,"https://www.transfermarkt.com/everson/profil/spieler/106032","Série A","Goalkeeper","Brazil","1.92","right","2025-12-31",2e+06
NA,"Flamengo","Série A","Matheus Cunha","BRA","GK","21",19,18,1580,17.6,22,1.25,98,75,80.6,9,6,3,5,27.8,4,3,1,0,25,"https://fbref.com/en/players/9475960a/Matheus-Cunha",17.6,22,3,0,2,0,28.5,0.27,6.5,0.37,65,181,35.9,624,82,25.2,28.4,102,23.5,27,275,9,3.3,23,1.31,16.7,NA,"https://www.transfermarkt.com/matheus-cunha/profil/spieler/876739","Série A","Goalkeeper","Brazil","1.93","right","2025-12-31",3e+06
NA,"Bragantino","Série A","Cleiton Schwengber","BRA","GK","25",33,33,2970,33,27,0.82,116,89,81.9,15,9,9,16,48.5,7,6,1,0,14.3,"https://fbref.com/en/players/d24ae824/Cleiton-Schwengber",33,27,6,0,4,1,38.4,0.28,12.4,0.38,151,449,33.6,784,145,48,39.4,244,29.9,31.2,382,15,3.9,63,1.91,18.2,NA,"https://www.transfermarkt.com/cleiton/profil/spieler/468247","Série A","Goalkeeper","Brazil","1.9","right","2024-12-31",4500000
NA,"Fluminense","Série A","Fábio","BRA","GK","42",35,35,3150,35,41,1.17,145,105,75.2,16,7,12,12,34.3,6,5,0,1,0,"https://fbref.com/en/players/15825726/Fabio",35,41,5,0,4,1,47.8,0.3,7.8,0.22,44,123,35.8,753,170,11.4,22.2,294,12.6,15.5,508,40,7.9,29,0.83,12.6,NA,"https://www.transfermarkt.com/fabio/profil/spieler/22415","Série A","Goalkeeper","Brazil","1.88","right","2025-12-31",2e+05
NA,"Athletico Paranaense","Série A","Bento","BRA","GK","23",33,33,2970,33,37,1.12,140,101,76.4,12,11,10,9,27.3,6,4,2,0,33.3,"https://fbref.com/en/players/5d699228/Bento",33,37,4,1,5,0,37.3,0.22,0.3,0.01,113,387,29.2,589,128,42.1,37.9,290,47.9,40.6,490,35,7.1,21,0.64,11.9,NA,"https://www.transfermarkt.com/bento/profil/spieler/691906","Série A","Goalkeeper","Brazil","1.9","right","2026-12-31",1.2e+07
